timestamp,bus,can_id,payload
1780704560.962718,vcan0,00A,00000000
1780704560.994700,vcan0,00A,00000000
1780704561.026681,vcan0,00A,00000000
1780704561.058685,vcan0,00A,00000000
1780704561.090620,vcan0,00A,00000000
1780704561.110797,vcan0,00A,00000000
1780704561.183186,vcan0,00A,00000000
1780704561.183242,vcan0,7D1,7F000000
1780704561.183267,vcan0,603,00
1780704561.183291,vcan0,604,00
1780704561.183313,vcan0,607,00000000
1780704561.214680,vcan0,00A,00000000
1780704561.258950,vcan0,00A,00000000
1780704561.290641,vcan0,00A,00000000
1780704561.333619,vcan0,00A,00000000
1780704561.364651,vcan0,00A,00000000
1780704561.409256,vcan0,00A,00000000
1780704561.409307,vcan0,603,00
1780704561.409334,vcan0,604,00
1780704561.409364,vcan0,607,00000000
1780704561.440632,vcan0,00A,00000000
1780704561.440667,vcan0,7D0,00000000
1780704561.440688,vcan0,7D1,7F000000
1780704561.440709,vcan0,606,00
1780704561.485595,vcan0,00A,00000000
1780704561.516626,vcan0,00A,00000000
1780704561.560098,vcan0,00A,00000000
1780704561.592681,vcan0,00A,00000000
1780704561.638190,vcan0,00A,00000000
1780704561.638240,vcan0,603,00
1780704561.638274,vcan0,604,00
1780704561.638308,vcan0,607,00000000
1780704561.669654,vcan0,00A,00000000
1780704561.713401,vcan0,00A,00000000
1780704561.713456,vcan0,7D1,7F000000
1780704561.744594,vcan0,00A,00000000
1780704561.790001,vcan0,00A,00000000
1780704561.821599,vcan0,00A,00000000
1780704561.864854,vcan0,00A,00000000
1780704561.864915,vcan0,603,00
1780704561.864956,vcan0,604,00
1780704561.864997,vcan0,607,00000000
1780704561.896599,vcan0,00A,00000000
1780704561.938906,vcan0,00A,00000000
1780704561.954792,vcan0,7D0,00000000
1780704561.954853,vcan0,606,00
1780704561.970598,vcan0,00A,00000000
1780704561.970626,vcan0,7D1,7F000000
1780704562.015267,vcan0,00A,00000000
1780704562.046606,vcan0,00A,00000000
1780704562.088715,vcan0,00A,00000000
1780704562.088767,vcan0,603,00
1780704562.088802,vcan0,604,00
1780704562.088835,vcan0,607,00000000
1780704562.120614,vcan0,00A,00000000
1780704562.164569,vcan0,00A,00000000
1780704562.195612,vcan0,00A,00000000
1780704562.239108,vcan0,00A,00000000
1780704562.239179,vcan0,7D1,7F000000
1780704562.270606,vcan0,00A,00000000
1780704562.312993,vcan0,00A,00000000
1780704562.313031,vcan0,603,00
1780704562.313063,vcan0,604,00
1780704562.313086,vcan0,607,00000000
1780704562.344631,vcan0,00A,00000000
1780704562.387731,vcan0,00A,00000000
1780704562.419612,vcan0,00A,00000000
1780704562.462185,vcan0,00A,00000000
1780704562.462226,vcan0,7D0,00000000
1780704562.462258,vcan0,606,00
1780704562.493639,vcan0,00A,00000000
1780704562.493681,vcan0,7D1,7F000000
1780704562.537623,vcan0,00A,00000000
1780704562.537671,vcan0,603,00
1780704562.537704,vcan0,604,00
1780704562.537732,vcan0,607,00000000
1780704562.568621,vcan0,00A,00000000
1780704562.612116,vcan0,00A,00000000
1780704562.643617,vcan0,00A,00000000
1780704562.686250,vcan0,00A,00000000
1780704562.717633,vcan0,00A,00000000
1780704562.761600,vcan0,00A,00000000
1780704562.761647,vcan0,7D1,7F000000
1780704562.761677,vcan0,603,00
1780704562.761702,vcan0,604,00
1780704562.761731,vcan0,607,00000000
1780704562.791661,vcan0,00A,00000000
1780704562.838331,vcan0,00A,00000000
1780704562.869636,vcan0,00A,00000000
1780704562.914516,vcan0,00A,00000000
1780704562.945628,vcan0,00A,00000000
1780704562.990239,vcan0,00A,00000000
1780704562.990295,vcan0,7D0,00000000
1780704562.990331,vcan0,603,00
1780704562.990365,vcan0,604,00
1780704562.990400,vcan0,606,00
1780704562.990433,vcan0,607,00000000
